"","NO.","DATE","SITE","RESULT","campeao","placar_campeao","vice","placar_vice"
"1","I","Jan. 15, 1967","Los Angeles Memorial Coliseum","Green Bay 35, Kansas City 10","Green Bay ",5," Kansas City ",0
"2","II","Jan. 14, 1968","Orange Bowl (Miami)","Green Bay 33, Oakland 14","Green Bay ",3," Oakland ",4
"3","III","Jan. 12, 1969","Orange Bowl (Miami)","New York Jets 16, Baltimore 7","New York Jets ",6," Baltimore ",NA
"4","IV","Jan. 11, 1970","Tulane Stadium (New Orleans)","Kansas City 23, Minnesota 7","Kansas City ",3," Minnesota ",NA
"5","V","Jan. 17, 1971","Orange Bowl (Miami)","Baltimore 16, Dallas 13","Baltimore ",6," Dallas ",3
"6","VI","Jan. 16, 1972","Tulane Stadium (New Orleans)","Dallas 24, Miami 3","Dallas ",4," Miami ",NA
"7","VII","Jan. 14, 1973","Los Angeles Memorial Coliseum","Miami 14, Washington 7","Miami ",4," Washington ",NA
"8","VIII","Jan. 13, 1974","Rice Stadium (Houston)","Miami 24, Minnesota 7","Miami ",4," Minnesota ",NA
"9","IX","Jan. 12, 1975","Tulane Stadium (New Orleans)","Pittsburgh 16, Minnesota 6","Pittsburgh ",6," Minnesota ",NA
"10","X","Jan. 18, 1976","Orange Bowl (Miami)","Pittsburgh 21, Dallas 17","Pittsburgh ",1," Dallas ",7
"11","XI","Jan. 9, 1977","Rose Bowl (Pasadena, Calif.)","Oakland 32, Minnesota 14","Oakland ",2," Minnesota ",4
"12","XII","Jan. 15, 1978","Superdome (New Orleans)","Dallas 27, Denver 10","Dallas ",7," Denver ",0
"13","XIII","Jan. 21, 1979","Orange Bowl (Miami)","Pittsburgh 35, Dallas 31","Pittsburgh ",5," Dallas ",1
"14","XIV","Jan. 20, 1980","Rose Bowl (Pasadena, Calif.)","Pittsburgh 31, Los Angeles Rams 19","Pittsburgh ",1," Los Angeles Rams ",9
"15","XV","Jan. 25, 1981","Superdome (New Orleans)","Oakland 27, Philadelphia 10","Oakland ",7," Philadelphia ",0
"16","XVI","Jan. 24, 1982","Silverdome (Pontiac, Mich.)","San Francisco 26, Cincinnati 21","San Francisco ",6," Cincinnati ",1
"17","XVII","Jan. 30, 1983","Rose Bowl (Pasadena, Calif.)","Washington 27, Miami 17","Washington ",7," Miami ",7
"18","XVIII","Jan. 22, 1984","Tampa (Fla.) Stadium","Los Angeles Raiders 38, Washington 9","Los Angeles Raiders ",8," Washington ",NA
"19","XIX","Jan. 20, 1985","Stanford (Calif.) Stadium","San Francisco 38, Miami 16","San Francisco ",8," Miami ",6
"20","XX","Jan. 26, 1986","Superdome (New Orleans)","Chicago 46, New England 10","Chicago ",6," New England ",0
"21","XXI","Jan. 25, 1987","Rose Bowl (Pasadena, Calif.)","New York Giants 39, Denver 20","New York Giants ",9," Denver ",0
"22","XXII","Jan. 31, 1988","Jack Murphy Stadium (San Diego)","Washington 42, Denver 10","Washington ",2," Denver ",0
"23","XXIII","Jan. 22, 1989","Joe Robbie Stadium (Miami)","San Francisco 20, Cincinnati 16","San Francisco ",0," Cincinnati ",6
"24","XXIV","Jan. 28, 1990","Superdome (New Orleans)","San Francisco 55, Denver 10","San Francisco ",5," Denver ",0
"25","XXV","Jan. 27, 1991","Tampa (Fla.) Stadium","New York Giants 20, Buffalo 19","New York Giants ",0," Buffalo ",9
"26","XXVI","Jan. 26, 1992","Metrodome (Minneapolis)","Washington 37, Buffalo 24","Washington ",7," Buffalo ",4
"27","XXVII","Jan. 31, 1993","Rose Bowl (Pasadena, Calif.)","Dallas 52, Buffalo 17","Dallas ",2," Buffalo ",7
"28","XXVIII","Jan. 30, 1994","Georgia Dome (Atlanta)","Dallas 30, Buffalo 13","Dallas ",0," Buffalo ",3
"29","XXIX","Jan. 29, 1995","Joe Robbie Stadium (Miami)","San Francisco 49, San Diego 26","San Francisco ",9," San Diego ",6
"30","XXX","Jan. 28, 1996","Sun Devil Stadium (Tempe, Ariz.)","Dallas 27, Pittsburgh 17","Dallas ",7," Pittsburgh ",7
"31","XXXI","Jan. 26, 1997","Superdome (New Orleans)","Green Bay 35, New England 21","Green Bay ",5," New England ",1
"32","XXXII","Jan. 25, 1998","Qualcomm Stadium (San Diego)","Denver 31, Green Bay 24","Denver ",1," Green Bay ",4
"33","XXXIII","Jan. 31, 1999","Pro Player Stadium (Miami)","Denver 34, Atlanta 19","Denver ",4," Atlanta ",9
"34","XXXIV","Jan. 30, 2000","Georgia Dome (Atlanta)","St. Louis 23, Tennessee 16","St. Louis ",3," Tennessee ",6
"35","XXXV","Jan. 28, 2001","Raymond James Stadium (Tampa, Fla.)","Baltimore 34, New York Giants 7","Baltimore ",4," New York Giants ",NA
"36","XXXVI","Feb. 3, 2002","Superdome (New Orleans)","New England 20, St. Louis 17","New England ",0," St. Louis ",7
"37","XXXVII","Jan. 26, 2003","Qualcomm Stadium (San Diego)","Tampa Bay 48, Oakland 21","Tampa Bay ",8," Oakland ",1
"38","XXXVIII","Feb. 1, 2004","Reliant Stadium (Houston)","New England 32, Carolina 29","New England ",2," Carolina ",9
"39","XXXIX","Feb. 6, 2005","Alltel Stadium (Jacksonville, Fla.)","New England 24, Philadelphia 21","New England ",4," Philadelphia ",1
"40","XL","Feb. 5, 2006","Ford Field (Detroit)","Pittsburgh 21, Seattle 10","Pittsburgh ",1," Seattle ",0
"41","XLI","Feb. 4, 2007","Dolphin Stadium (Miami)","Indianapolis 29, Chicago 17","Indianapolis ",9," Chicago ",7
"42","XLII","Feb. 3, 2008","University of Phoenix Stadium (Glendale, Ariz.)","New York Giants 17, New England 14","New York Giants ",7," New England ",4
"43","XLIII","Feb. 1, 2009","Raymond James Stadium (Tampa, Fla.)","Pittsburgh 27, Arizona 23","Pittsburgh ",7," Arizona ",3
"44","XLIV","Feb. 7, 2010","Sun Life Stadium (Miami)","New Orleans 31, Indianapolis 17","New Orleans ",1," Indianapolis ",7
"45","XLV","Feb. 6, 2011","Cowboys Stadium (Arlington, Texas)","Green Bay 31, Pittsburgh 25","Green Bay ",1," Pittsburgh ",5
"46","XLVI","Feb. 5, 2012","Lucas Oil Stadium (Indianapolis)","New York Giants 21, New England 17","New York Giants ",1," New England ",7
"47","XLVII","Feb. 3, 2013","Mercedes-Benz Superdome (New Orleans)","Baltimore 34, San Francisco 31","Baltimore ",4," San Francisco ",1
"48","XLVIII","Feb. 2, 2014","MetLife Stadium (East Rutherford, N.J.)","Seattle 43, Denver 8","Seattle ",3," Denver ",NA
"49","XLIX","Feb. 1, 2015","University of Phoenix Stadium (Glendale, Ariz.)","New England 28, Seattle 24","New England ",8," Seattle ",4
"50","50","Feb. 7, 2016","Levi's Stadium (Santa Clara, Calif.)","Denver 24, Carolina 10","Denver ",4," Carolina ",0
"51","LI","Feb. 5, 2017","NRG Stadium (Houston)","New England 34, Atlanta 28","New England ",4," Atlanta ",8
"52","LII","Feb. 4, 2018","U.S. Bank Stadium (Minneapolis)","Philadelphia 41, New England 33","Philadelphia ",1," New England ",3
"53","LIII","Feb. 3, 2019","Mercedes-Benz Stadium (Atlanta)","New England 13, Los Angeles Rams 3","New England ",3," Los Angeles Rams ",NA
"54","LIV","Feb. 2, 2020","Hard Rock Stadium (Miami)","Kansas City 31, San Francisco 20","Kansas City ",1," San Francisco ",0
"55","LV","Feb. 7, 2021","Raymond James Stadium (Tampa, Fla.)","Tampa Bay 31, Kansas City 9","Tampa Bay ",1," Kansas City ",NA
